Designator,Footprint,Quantity,Value,LCSC Part #
"_10, _9, _8, _7, _6, _5, _4, _3, _2, , 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19_2, 19, 2_2, 2, 20_2, 20, 21_2, 21, 22_2, 22, 23_2, 23, 24_2, 24, 25_2, 25, 26_2, 26, 27_2, 27, 3, 4, 5, 6, 7, 8, 9",,47,,
"DADADA, DAWDAD",PinSocket_2x02_P2.54mm_Horizontal,2,PinSocket_2x02_P2.54mm_Horizontal,
