Designator,Footprint,Quantity,Value,LCSC Part #
"_8, _7, _6, _5, _4, _3, _2, , 1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 2_2, 2, 3, 4, 5, 6, 7, 8, 9",,27,,
"DADADA, DAWDAD",PinSocket_2x02_P2.54mm_Horizontal,2,PinSocket_2x02_P2.54mm_Horizontal,
